Date,newCasesBySpecimenDate,newDailyNsoDeathsByDeathDate,newAdmissionsHospital,InhospitalCases,adjusted_seroprevalence,sero_lower,sero_upper,uniqueCasePositivityBySpecimenDateRollingSum,uniquePeopleTestedBySpecimenDateRollingSum
2020/1/1,,0,,,,,,,
2020/1/2,,0,,,,,,,
2020/1/3,,0,,,,,,,
2020/1/4,,0,,,,,,,
2020/1/5,,0,,,,,,,
2020/1/6,,0,,,,,,,
2020/1/7,,0,,,,,,,
2020/1/8,,0,,,,,,,
2020/1/9,,0,,,,,,,
2020/1/10,,0,,,,,,,
2020/1/11,,0,,,,,,,
2020/1/12,,0,,,,,,,
2020/1/13,,0,,,,,,,
2020/1/14,,0,,,,,,,
2020/1/15,,0,,,,,,,
2020/1/16,,0,,,,,,,
2020/1/17,,0,,,,,,,
2020/1/18,,0,,,,,,,
2020/1/19,,0,,,,,,,
2020/1/20,,0,,,,,,,
2020/1/21,,0,,,,,,,
2020/1/22,,0,,,,,,,
2020/1/23,,0,,,,,,,
2020/1/24,,0,,,,,,,
2020/1/25,,0,,,,,,,
2020/1/26,,0,,,,,,,
2020/1/27,,0,,,,,,,
2020/1/28,,0,,,,,,,
2020/1/29,,0,,,,,,,
2020/1/30,,0,,,,,,,
2020/1/31,,0,,,,,,,
2020/2/1,,0,,,,,,,
2020/2/2,,0,,,,,,,
2020/2/3,,0,,,,,,,
2020/2/4,,0,,,,,,,
2020/2/5,,0,,,,,,,
2020/2/6,,0,,,,,,,
2020/2/7,,0,,,,,,,
2020/2/8,,0,,,,,,0,81
2020/2/9,,0,,,,,,0,131
2020/2/10,,0,,,,,,0,181
2020/2/11,1,0,,,,,,1.4,216
2020/2/12,0,0,,,,,,1.5,274
2020/2/13,0,0,,,,,,1.5,335
2020/2/14,0,0,,,,,,1.2,403
2020/2/15,0,0,,,,,,1.2,404
2020/2/16,0,0,,,,,,1.2,428
2020/2/17,0,0,,,,,,1.1,437
2020/2/18,0,0,,,,,,0.5,424
2020/2/19,0,0,,,,,,0.5,408
2020/2/20,0,0,,,,,,0.3,366
2020/2/21,0,0,,,,,,0.3,342
2020/2/22,0,0,,,,,,0.3,320
2020/2/23,0,0,,,,,,0.3,307
2020/2/24,1,0,,,,,,0.4,282
2020/2/25,3,0,,,,,,1.1,268
2020/2/26,2,0,,,,,,1.7,300
2020/2/27,2,0,,,,,,1.8,451
2020/2/28,3,0,,,,,,1.7,706
