"parameter","fixed_value","error_value","optim_beta","optim_gamma"
"beta",0.91,10824.3256803638,0.911142765641212,0.529566794157028
"beta",0.89,10823.3726324724,0.944460485911704,0.512073608144169
"beta",0.87,10821.259775389,0.927866877971578,0.494548285841816
"beta",0.85,10817.8513893706,0.931820423758834,0.477058975288252
"beta",0.83,10812.9467371128,0.927482374270174,0.459527624847355
"beta",0.81,10806.3797065392,0.947838982045293,0.442001468653871
"beta",0.79,10797.988920671,0.925825161332941,0.42448311346377
"beta",0.77,10787.4792802758,0.888303926767202,0.406943066461955
"beta",0.75,10774.5912783639,0.917624036717201,0.389425659349285
"beta",0.73,10759.0013592114,0.926383582575512,0.371906567632662
"beta",0.71,10740.3355058979,0.963708071300127,0.354338972777452
"beta",0.69,10718.1564484618,0.92002341469385,0.336800564206025
"beta",0.67,10691.9548489851,0.947658281894589,0.319252669622553
"beta",0.65,10661.1322885075,0.926530142989342,0.301692244725036
"beta",0.63,10624.9732589136,0.953926883991746,0.284137538303632
"beta",0.61,10582.6368872308,0.926747554497558,0.266580798236801
"beta",0.59,10533.1142024978,0.889188937786963,0.249023276208234
"beta",0.57,10475.1511218362,0.891361723834549,0.231439077174623
"beta",0.55,10407.2977500788,0.884670514625196,0.213926506765173
"beta",0.53,10327.6852978021,0.87842011870033,0.196365698844632
"beta",0.51,10234.0728307901,0.837071395321187,0.178858921152425
"beta",0.49,10123.616930703,0.782811128247325,0.161349678725494
"beta",0.47,9992.69539235826,0.78218163992856,0.143879287548515
"beta",0.45,9836.69186781063,0.751780439470399,0.12646352447198
"beta",0.43,9649.591374193,0.736003322496432,0.109113110022914
"beta",0.41,9423.45619079088,0.693033459941012,0.091871314659996
"beta",0.91,10824.3256803638,0.911142765641212,0.529566794157028
"beta",0.93,10824.2587388261,0.913021483515341,0.547073558839998
"beta",0.95,10823.2486872526,0.917241012459042,0.564555393633188
"beta",0.97,10821.318164567,0.89659432906552,0.582296138330407
