"parameter","fixed_value","error_value","optim_beta","optim_kappa","optim_gamma","optim_mu","optim_S0","optim_E0","optim_I0","optim_R0"
"beta",0.8,10667.5924141981,0.778239782049168,0.474409940253839,0.456208594524782,0.0751439484413645,0.999997627647412,7.47374446226876e-06,9.86998964159489e-13,1.17159195485036e-05
"beta",0.82,10816.4912670756,1.29658122231269,0.840563166988039,0.473921958849297,0.0867671117319641,0.999903835741626,5.09435894905571e-07,2.21968592180803e-12,0.00483028255383821
"beta",0.84,10807.1409778551,1.07514744597712,0.771552293448938,0.495820313018938,0.0798666711100999,0.999897449471959,2.67682569871327e-10,6.16522218966966e-07,1.37363185290067e-10
"beta",0.86,10824.4556225818,0.96016724961351,0.985611837847573,0.505403591825312,0.0902490260142155,0.99990000587095,1.73656758841659e-07,2.68748572081568e-08,6.64434292822178e-07
"beta",0.88,10824.3679825456,0.926499973506953,0.961616078633825,0.516087540994496,0.0944517182707036,0.999900012984912,9.17984485504828e-08,9.24643174217272e-08,9.99653568584378e-07
"beta",0.9,10824.2534754818,0.914127718797513,0.9365721609062,0.528636724528398,0.096233569696993,0.999900010844646,9.033013974358e-08,9.06944702708599e-08,9.63602131120116e-07
"beta",0.92,10824.424014238,0.916403277780134,0.869936763597233,0.538134994466712,0.0971866005652842,0.999899999895278,1.00090782415173e-07,1.0009245648782e-07,1.00050880227662e-06
"beta",0.94,10824.2100314065,0.917057306432906,0.875395715534895,0.552214347088849,0.0998293717756225,0.999900008351022,9.25486361473415e-08,9.28344565117974e-08,9.71941880638576e-07
"beta",0.96,10824.327306348,1.07902646824122,0.834536309022386,0.562470286974171,0.101797982216042,0.999900003425368,9.69880877917698e-08,9.70467900550498e-08,9.88453327548464e-07
"beta",0.98,10823.7295712048,0.90098062425604,0.857028424588984,0.576783453260623,0.105868208014426,0.999900016198743,8.55168904941872e-08,8.6064635396781e-08,9.44913985223476e-07
"beta",1,10823.6061651282,0.903526958371068,0.839898997446469,0.588480535914613,0.108753033601202,0.999900012420426,8.88175864000233e-08,8.92323503063966e-08,9.57152041711988e-07
"kappa",0.8,10823.9067842753,0.934085055838786,0.88724732934197,0.54201432988321,0.0979856331230503,0.999899975619745,1.21721371731854e-07,1.20886890722976e-07,1.08169973158002e-06
"kappa",0.82,10824.3182872211,0.945239459719473,0.80005500254354,0.550875439225604,0.100059944523623,0.99989999274255,1.06440326911603e-07,1.06135545089517e-07,1.02602526595715e-06
