"parameter","fixed_value","error_value","optim_beta","optim_kappa","optim_gamma","optim_mu"
"beta",0.7,10824.9486458093,0.861192850358709,1.4206733570289,0.408978842211688,0.073582074130218
"beta",0.72,10824.9476806463,0.709251770721609,1.32375525077742,0.420655352887027,0.0756694964041578
"beta",0.74,10824.9209523793,0.576447820120282,1.25297524564495,0.432579741482213,0.0780190988320506
"beta",0.76,10824.8792736202,0.689325504552642,1.18526128577803,0.444269029388152,0.0801488764881758
"beta",0.78,10824.8374431325,0.617372081463915,1.13131186053534,0.456296826059911,0.0823485507033445
"beta",0.8,10824.7792960842,0.631627811677775,1.0731495050673,0.467548951713192,0.084273169108134
"beta",0.82,10824.7057771205,0.85969581807133,1.03561219689516,0.479820432722419,0.0864924521538334
"beta",0.84,10824.6405107158,0.860877773538497,0.996351333007335,0.491400772122327,0.0888521520450823
"beta",0.86,10824.5555096152,0.976177506210835,0.953855336858712,0.502199247709062,0.0913086400727958
"beta",0.88,10824.5108544928,0.973388102850299,0.922932647874732,0.514480505069251,0.0929289104087205
"beta",0.9,10824.4677276318,0.985605764044829,0.901297924147625,0.526900864575773,0.0953366554495886
"beta",0.92,10824.427247815,0.971069015926205,0.867599565632381,0.537941177863107,0.0969881742349857
"beta",0.94,10824.3961567682,0.951433790615763,0.844235802760691,0.549764964294564,0.0993082109298716
"beta",0.96,10824.3127352772,1.12315465758418,0.834322862663711,0.562533808949547,0.102348253090137
"beta",0.98,10824.3433281014,0.938013535357455,0.8057181198449,0.573690136395795,0.103587952607369
"beta",1,10824.3171935305,0.756463904234379,0.783979068396365,0.584816453843482,0.105629703597019
"beta",1.02,10824.3085047143,1.00902740263981,0.769412389163963,0.59661611931785,0.107857108652322
"beta",1.04,10824.2944373957,1.03754867153714,0.751963407376757,0.608258127900268,0.109672320725525
"beta",1.06,10824.3020294811,0.953046074070876,0.737834272050996,0.619875369316795,0.111991183604543
"beta",1.08,10824.3112166547,1.01104818533899,0.723895671744628,0.631780325734717,0.11389566968738
"beta",1.1,10824.3056567179,1.01808212847304,0.709179963967484,0.643073430621258,0.115882316132939
"kappa",0.7,10824.3171296608,1.12059644749963,0.86658226123611,0.655589196590906,0.118416416253755
"kappa",0.72,10824.230485789,1.0689949121205,0.117923674589063,0.623667603723078,0.111696405011162
"kappa",0.74,10824.3052628984,1.05582008195559,0.888674034844466,0.617314337627269,0.111483698358369
"kappa",0.76,10823.9455826025,0.9928353016197,0.108140561805221,0.576968633651219,0.102554229411288
"kappa",0.78,10824.3211859747,1.00162329790294,0.820358890134692,0.585374078910315,0.105712159863424
"kappa",0.8,10823.183680747,0.925409313055209,0.837590044274726,0.53556450457158,0.0934347873708236
"kappa",0.82,10824.273762261,0.945620620988535,0.987511139038048,0.551622954101159,0.0983377061022573
"kappa",0.84,10824.2943483543,0.927316695543882,0.895566645049588,0.54141735554613,0.0959424359102615
"kappa",0.86,10824.3539642808,0.913365424119158,0.916715170333305,0.532756645797999,0.0952250605141347
"kappa",0.88,10824.4378835624,0.908237007727839,0.951670984862412,0.530919964381491,0.0955595742339884
"kappa",0.9,10824.3681570787,0.909581906748332,0.958194846567998,0.533752427798716,0.0967043721838964
"kappa",0.92,10824.5112736272,0.880531866990225,0.0664802674726945,0.514924237037726,0.0925890799932458
"kappa",0.94,10824.5410642272,0.867556963070672,1.49478693842939,0.507151945058987,0.0913538387973883
"kappa",0.96,10824.5686451209,0.856557831738934,0.958818380505293,0.500676731696059,0.0902639357543465
"kappa",0.98,10824.6146834552,0.846713611020377,0.96857751479429,0.49505947152948,0.0894002159734217
"kappa",1,10824.6723950478,0.83516516930989,1.47018178511931,0.488325515073396,0.087982643711145
"kappa",1.02,10824.6958758305,0.824996914238968,0.961164992453518,0.482321663519719,0.0869499304358586
"kappa",1.04,10824.7181134059,0.81493611741431,1.30436182122076,0.476265180154943,0.0859400827517173
"kappa",1.06,10824.7526627378,0.805639178010201,1.60688444871416,0.470832089359819,0.0848881304813567
"kappa",1.08,10824.7698713697,0.793907002951565,1.90995939950839,0.463840085937965,0.0831142212231546
"kappa",1.1,10824.805314547,0.788235367825793,2.34581457330474,0.460340261944572,0.0831850164598508
