"parameter","fixed_value","likelihood_value","optim_beta","optim_kappa","optim_gamma","optim_mu"
"beta",0.91,10675.6943781885,1.03308018104945,0.903715407557743,0.525266902246615,0.106735308285358
"beta",0.89,10676.0206556757,1.02461149901496,0.970503752225552,0.51915844162116,0.102718908431601
"beta",0.87,10675.6500708385,1.01910354875048,1.03496483241731,0.509525302507774,0.102040065543263
"beta",0.85,10674.833058677,1.01874040482521,1.09753597932655,0.492956038781914,0.106263996469722
"beta",0.83,10674.4541571565,1.01541331304117,1.16993283813702,0.485673659968852,0.102085058536351
"beta",0.81,10673.8384131899,1.09241892302778,1.22867618537055,0.477692747136312,0.0964651951381278
"beta",0.79,10673.9958451428,1.16355580400854,1.28951916005301,0.466569717689358,0.0925628879619166
"beta",0.77,10674.8115327924,1.31050536202689,1.32677559956945,0.449673455728169,0.0935582153742343
"beta",0.75,10674.922100199,1.32801265553976,1.37676605067861,0.439373527489096,0.0876988417077953
"beta",0.73,10675.1410344704,1.40598115184138,1.42604312985359,0.423150859095878,0.0881417084476011
"beta",0.71,10674.7838712266,1.49039396534404,1.49198187944298,0.412340499344069,0.0836299058029633
"beta",0.69,10674.8982312379,1.51909745383003,1.58062003151197,0.3984363418237,0.0817974404197578
"beta",0.67,10674.5398330504,1.60130489461692,1.69065639134061,0.389531659867106,0.0760089434529155
"beta",0.65,10673.9438730169,1.60585000494319,1.85297263125383,0.376847227630395,0.074630941877382
"beta",0.63,10673.3837348236,1.63865172691111,2.04244423220628,0.363842505542542,0.0729301284703272
"beta",0.61,10672.2363609307,1.67524127249014,2.21423064389386,0.351473873852095,0.0687657355023096
"beta",0.59,10670.8582280223,1.8745769894176,2.41690859684683,0.339189401449066,0.0649329813983444
"beta",0.57,10668.36526627,2.04440360097494,2.55808776926719,0.327226842285186,0.0597295210304271
"beta",0.55,10666.5380708867,2.52402771332266,3.05244698720253,0.313251749929256,0.0594390338582629
"beta",0.53,10662.7569104496,2.7925212616603,3.46019714564663,0.299001343044048,0.0568424112584624
"beta",0.51,10659.7666709117,3.11335535091125,4.59042164050509,0.286965529164373,0.0546816881678201
"beta",0.49,10653.6221241908,3.82387983675839,5.6320990096444,0.273362028019155,0.050637222707873
"beta",0.47,10645.0601106912,4.33703134807122,7.59749696418174,0.260303852831829,0.0463642538381153
"beta",0.45,10635.760064885,5.04144728464445,11.098106936371,0.248004326201563,0.0415880237844262
"beta",0.43,10616.828535957,4.99931541166615,12.6519296721639,0.230720746717981,0.0387466121376803
"beta",0.41,10597.6800428435,5.21286797116747,23.5465060288576,0.217229736314075,0.034017498820034
"beta",0.91,10675.6943781885,1.03308018104945,0.903715407557743,0.525266902246615,0.106735308285358
"beta",0.93,10676.0580353916,1.07999076503726,0.901472414650971,0.539333755226561,0.109737656421537
"beta",0.95,10675.8283740652,1.17867192515275,0.89645077614937,0.552880439937358,0.112411209494782
"beta",0.97,10675.4244496873,1.22644548475174,0.890604770887436,0.566913480882627,0.116024897339981
"beta",0.99,10674.8785733608,1.32468557877483,0.885027784033657,0.581762727353496,0.11806498494844
"beta",1.01,10675.9443599398,1.44276063909787,0.829345207223277,0.587122919487226,0.12067555963418
"beta",1.03,10675.0902726489,1.63352724338965,0.83688138381616,0.603542977130577,0.123362195719596
"beta",1.05,10675.6385225589,1.99140876112808,0.806412646931927,0.614720463427222,0.122664259899604
"beta",1.07,10675.3925221171,2.47964458459289,0.797257141518288,0.629396802277259,0.123847720913414
"beta",1.09,10675.5918118825,2.6546919714123,0.773053934405183,0.631784982929133,0.133510385855988
"beta",1.11,10675.9985353021,3.08175791088652,0.73697688366398,0.642489218377958,0.132200704619144
"beta",1.13,10675.777816048,3.16333333785418,0.736847958845921,0.656191803366814,0.134656685181064
"beta",1.15,10675.9896992247,3.61379351924218,0.709027903746869,0.667965727938368,0.133582674850045
"beta",1.17,10675.744447102,4.18871253534236,0.706683396518506,0.679863444672986,0.138175123642441
"beta",1.19,10675.918509759,4.8873998316797,0.681799065278718,0.686506111274785,0.140345247697322
"beta",1.21,10676.0015213271,5.85889014739208,0.676447228280791,0.700699797946218,0.141202439075063
"beta",1.23,10675.6563179005,6.19589099889619,0.665281981144503,0.708807788166896,0.147400351578297
"beta",1.25,10676.0511057806,6.47159025457742,0.655363319103691,0.722963330431437,0.146352060024518
"beta",1.27,10676.1273309713,6.70734757290119,0.648426630957789,0.736889365391388,0.146690674701105
"beta",1.29,10675.9846156135,7.32877476481638,0.657530504857157,0.751650542768118,0.151690075071204
"beta",1.31,10675.6367431523,8.01970139412085,0.626726715145155,0.765165246984054,0.143705932298711
"beta",1.33,10675.9333456267,8.597812201963,0.644527865357038,0.775436771261095,0.156615964562014
"beta",1.35,10675.7957278122,10.6317860543343,0.621929196746919,0.786317020487427,0.153065015115315
"beta",1.37,10675.9420579076,12.1971084150738,0.611688766218894,0.795748099429254,0.15720415416395
"beta",1.39,10675.9294667064,12.7474570469433,0.609737680185522,0.804654334911735,0.163813922015012
"beta",1.41,10675.7748630574,13.2396879144322,0.618941334374596,0.818212912437192,0.169941446791593
"beta",1.43,10675.6318335034,12.6994788777387,0.585886741720454,0.822613748573905,0.168070895816789
"beta",1.45,10674.864426173,13.8325515841038,0.571372453840802,0.828286103614926,0.171790204421086
"beta",1.47,10675.0248269925,16.4557646437649,0.574791595296222,0.840763962939907,0.177250598462782
"beta",1.49,10675.0891220183,18.8411733000824,0.584932080998671,0.855781483654147,0.183450743135989
"kappa",0.87,10675.1679659197,0.913243991095927,0.9580059316197,0.528299745302468,0.101818684007752
"kappa",0.85,10674.6443555028,0.913890754821119,1.05620115969694,0.526766749409286,0.0998425411652765
"kappa",0.83,10673.905785783,0.922853907610822,1.15754348235792,0.526473285324778,0.104892888808389
"kappa",0.81,10673.2549846779,0.930432960283154,1.24721683148902,0.528865991838106,0.106830737549515
"kappa",0.79,10671.7432577876,0.930413316398658,1.28818312667208,0.527829249167125,0.103645347679287
"kappa",0.77,10672.1226487517,0.941371764877001,1.70682197879054,0.537927260295384,0.0998132206808184
"kappa",0.75,10671.4154723175,0.95574732421921,2.05914925041752,0.54441188238983,0.101371810140733
"kappa",0.73,10669.6420620998,0.962377475932557,2.22540090552872,0.543418298359957,0.103623520193663
"kappa",0.71,10667.422876595,0.966384751662651,2.29871665207,0.542731856153721,0.104466725828292
"kappa",0.69,10665.1227103548,0.964737946768444,2.38828046281859,0.54289831610572,0.0978263248153552
"kappa",0.67,10662.0537672377,0.969208786393186,2.46733041341396,0.541144199470952,0.0984034084079129
"kappa",0.65,10661.2623221756,0.993123577289877,3.70774756007777,0.552719260630572,0.101839969108712
"kappa",0.63,10659.587737449,1.02140808799731,4.62858696881123,0.563829184473314,0.109108592414703
"kappa",0.61,10657.3574944543,1.02703587899369,5.81927840217751,0.571055430802699,0.100357393111092
"kappa",0.87,10675.1679659197,0.913243991095927,0.9580059316197,0.528299745302468,0.101818684007752
"kappa",0.89,10675.7697515958,0.915442758389317,1.10544843465893,0.530059046200013,0.104807708693696
"kappa",0.91,10675.6266557374,0.914861035669623,1.21676490782436,0.53308733103667,0.102950336932111
"kappa",0.93,10676.0914677557,0.912666330409379,1.34183725350809,0.529323212575987,0.108053510906346
"kappa",0.95,10675.9071664062,0.91164478957191,1.55177230373193,0.531094644256598,0.108191623454217
"kappa",0.97,10675.332586898,0.913213444101372,1.70735908723934,0.536355298539068,0.106317166525063
"kappa",0.99,10674.8905665478,0.911424274842419,1.97557083661952,0.533984119985226,0.11006526478257
"kappa",1.01,10674.5854667858,0.909935875908612,2.28444959890315,0.534199735705797,0.11051996493815
"kappa",1.03,10673.6309992956,0.911851151873934,2.39396308359861,0.535787088218382,0.112984391438831
"kappa",1.05,10673.0373906091,0.90319291043307,2.66295247541569,0.535737277047603,0.107429322483072
"kappa",1.07,10672.8689802925,0.894773552864691,3.40012142601872,0.530240321480587,0.106710523382172
"kappa",1.09,10670.4207867002,0.909053982696055,3.51956716808732,0.534325789165062,0.118491069993958
"kappa",1.11,10670.7265723463,0.892436240667483,3.75895151294691,0.53337969879444,0.105981446719573
"kappa",1.13,10669.7297232117,0.8924667922774,4.14016486100357,0.533614108471371,0.107738236177999
"kappa",1.15,10666.1705235178,0.8924667922774,4.14016486100357,0.533614108471371,0.107738236177999
"kappa",1.17,10667.2502759272,0.898709617975135,4.26024290205898,0.534921595809291,0.115400298546178
"kappa",1.19,10666.8867463978,0.884509997880845,5.18938869695388,0.532140425603749,0.106696550855634
"gamma",0.53,10675.9192107654,0.915711773765772,0.916661601215207,0.680373997408539,0.108699714393987
"gamma",0.51,10670.921744236,0.904514776467196,0.936496699163591,0.761505939872076,0.121698014204618
"gamma",0.49,10675.8932663573,0.838544487231896,1.06400577253845,0.645370381260677,0.0957290726605999
"gamma",0.47,10675.6574073861,0.803968272980036,1.17331931292331,0.461344922033398,0.094103878377093
"gamma",0.45,10674.6293541115,0.784049778212328,1.19264707792108,0.72456398903251,0.0965778391379882
"gamma",0.43,10674.3754707312,0.752020813132948,1.19281145921451,0.844013769482685,0.0872249539518509
"gamma",0.41,10673.3447818545,0.722171136526581,1.27573299091271,1.11121329270134,0.0859667752962447
"gamma",0.39,10668.5841117157,0.696785859205146,1.22731951220301,1.13887850964828,0.0789908356012952
"gamma",0.37,10672.5880771458,0.649233917104041,1.69585080414205,0.224439964542364,0.0760879849154566
"gamma",0.35,10671.7653292811,0.6121994760138,2.0904580668989,0.782768937772654,0.0707029092380464
"gamma",0.33,10668.6553136845,0.583305058863683,2.32975577635898,0.817410048134868,0.0661574351066463
"gamma",0.31,10661.2917279595,0.558588726436784,2.36618322099403,0.870469408457722,0.0624066255658684
"gamma",0.29,10656.3594654829,0.526224862377246,3.06720410825561,1.15102959500016,0.059190734270991
"gamma",0.27,10644.5248040194,0.496734871330372,3.52390051278258,1.32685089438929,0.0530968609124009
"gamma",0.25,10627.8103848555,0.470852771587317,4.03649308941158,1.4806682288319,0.0489857627584851
"gamma",0.23,10613.6706281424,0.437591827802798,8.67782525738475,2.05092154538559,0.0443178733045765
