"parameter","fixed_value","error_value","optim_beta","optim_gamma"
"beta",0.91,160.346401635931,0.92713475883007,0.529816602945328
"beta",0.89,160.386723145055,0.872165905749387,0.512493086679408
"beta",0.87,160.427543859791,0.853888670178667,0.495149434751108
"beta",0.85,160.470003654735,0.823531354634127,0.477774370619951
"beta",0.83,160.482151511978,0.780588492303359,0.460521996990005
"beta",0.81,160.508671867004,0.817294258275623,0.443087943139205
"beta",0.79,160.513302606497,0.798512807764707,0.425741558175331
"beta",0.77,160.515359243942,0.783320055993929,0.40837795752913
"beta",0.75,160.509704200209,0.789729845722937,0.391027777069764
"beta",0.73,160.494841753003,0.850272072647427,0.373662746537108
"beta",0.71,160.46916289109,0.815891461515389,0.356298007960412
"beta",0.69,160.43183107054,0.783034109266072,0.338928186892391
"beta",0.67,160.381582934382,0.798270831802842,0.3215546960028
"beta",0.65,160.316995101936,0.781999163268766,0.304172000273811
"beta",0.63,160.236169118842,0.795425324580199,0.286788042821251
"beta",0.61,160.138105967194,0.786885753494925,0.269385985416401
"beta",0.59,160.020466596971,0.852851043444571,0.251991559682735
"beta",0.57,159.879921674263,0.809825366459249,0.234581889930581
"beta",0.55,159.714903290837,0.813407045502982,0.217165774145989
"beta",0.53,159.520956118775,0.803726507414366,0.199739290504758
"beta",0.51,159.295729931652,0.789510477704455,0.182303349124281
"beta",0.49,159.034700164486,0.796648883819394,0.164860592168746
"beta",0.47,158.732816351507,0.757215908408967,0.147403337849907
"beta",0.45,158.384381367184,0.716146512253577,0.129935701583844
"beta",0.43,157.982556860265,0.684346970860325,0.112456347028394
"beta",0.41,157.519262689126,0.684250417816238,0.0949633200330024
"beta",0.91,160.346401635931,0.92713475883007,0.529816602945328
"beta",0.93,160.306770255478,0.905536154208029,0.547124422689467
"beta",0.95,160.260524403834,0.908100340292479,0.564361437644289
"beta",0.97,160.197135263808,0.89223035144203,0.582115640414322
"beta",0.99,160.136612538487,0.864728103592869,0.599124357637578
"beta",1.01,160.10035528309,0.861866761863487,0.615814009805518
"beta",1.03,160.046924200895,0.859286331681655,0.633129763431035
"beta",1.05,159.97090910518,0.874500851945882,0.651367110127437
"beta",1.07,159.895229419426,0.896865118165888,0.668366765737007
"beta",1.09,159.846873083281,0.890830251538555,0.685697395696007
"beta",1.11,159.775292215077,0.864089064331171,0.703205895373697
"beta",1.13,159.683217811749,0.847285922968014,0.72023214635283
"beta",1.15,159.609146729353,0.842573670344333,0.737512062934938
"beta",1.17,159.529496187997,0.860865544056419,0.754936494504204
"beta",1.19,159.467439026401,0.841211417848647,0.771739780801039
"beta",1.21,159.389242008678,0.850015284629077,0.789028415430245
"beta",1.23,159.308788633659,0.859500536108705,0.806365101920919
"beta",1.25,159.228519247955,0.844584634604807,0.823659018830309
"beta",1.27,159.146565472741,0.857379600435319,0.840970621882886
"beta",1.29,159.06612477969,0.847400121122206,0.858182552881326
"beta",1.31,158.982349115034,0.833891482306522,0.875497257782482
"beta",1.33,158.896139545145,0.835816381839269,0.892875485989302
"beta",1.35,158.81260824185,0.857042409983906,0.910142568923175
"beta",1.37,158.727818571805,0.836649034168583,0.927430161860999
"beta",1.39,158.642822979598,0.823034661161595,0.944721838877941
"beta",1.41,158.5551264231,0.807964205786801,0.96207230912861
"beta",1.43,158.469405038535,0.789280064296371,0.979353475356369
"beta",1.45,158.383407262718,0.786478648241143,0.996636402158997
"beta",1.47,158.297345779766,0.835640272078811,1.01390305476522
"beta",1.49,158.21368925606,0.839570277893651,1.03110256035963
"gamma",0.53,160.346601602348,0.910252227902412,0.522851989686489
"gamma",0.51,160.392420291884,0.887114005860969,0.537039763418059
"gamma",0.49,160.438285982803,0.864049106272515,0.555757360795874
"gamma",0.47,160.469477189427,0.841009236481146,0.551804431367736
"gamma",0.45,160.49373929537,0.817970825212256,0.58080529552827
"gamma",0.43,160.508772972245,0.794892496723987,0.576121516106233
"gamma",0.41,160.515435636793,0.771864261605148,0.569570862724477
"gamma",0.39,160.509082035674,0.74881932827278,0.539307294364006
"gamma",0.37,160.490339568395,0.725788214444684,0.517257140139843
"gamma",0.35,160.457044133176,0.702760663032392,0.493891015021931
"gamma",0.33,160.407727647781,0.679739909563173,0.48130169809859
"gamma",0.31,160.340378520311,0.65672789825636,0.459650075903767
"gamma",0.29,160.252391381318,0.633722480992185,0.449665292667855
"gamma",0.27,160.141963750291,0.61073248331732,0.439085318029138
"gamma",0.25,160.005689358567,0.587749907867439,0.463923332173254
"gamma",0.23,159.839354564478,0.564787157580974,0.461588008380062
"gamma",0.21,159.639263619792,0.541831927884079,0.442339217380431
"gamma",0.19,159.39978452072,0.518891598873723,0.436495043789927
"gamma",0.17,159.116094473232,0.495963845134472,0.419855739867242
"gamma",0.15,158.781140315915,0.473057831913231,0.426655539359386
"gamma",0.13,158.386593317595,0.450167642849987,0.429240905148175
"gamma",0.11,157.922526482578,0.427296362158884,0.432245518808637
"gamma",0.53,160.346601602348,0.910252227902412,0.522851989686489
"gamma",0.55,160.300291844275,0.933306411257795,0.530667896745192
"gamma",0.57,160.246920361593,0.956394235436681,0.586185445388979
"gamma",0.59,160.175883860535,0.979064058390774,0.620432618675522
"gamma",0.61,160.121456264684,1.00325927921338,0.710272027188069
"gamma",0.63,160.061992106805,1.02649050420693,0.767154202026382
"gamma",0.65,159.962875564754,1.04838349392226,0.789570497705529
"gamma",0.67,159.889006504698,1.07187480567357,0.789927578487805
"gamma",0.69,159.80884898121,1.09501986398253,0.818255103921002
"gamma",0.71,159.726339408241,1.11810572089079,0.8336104732574
"gamma",0.73,159.641768077141,1.14127453791639,0.908134892855927
"gamma",0.75,159.551384726904,1.16425020572502,0.884133330612229
"gamma",0.77,159.475318390719,1.18794528706157,0.897829714522447
"gamma",0.79,159.384912789401,1.2110722548614,0.874522632364289
"gamma",0.81,159.292106865472,1.23415621415722,0.872341729948824
"gamma",0.83,159.198899724834,1.25728129531326,0.908217068852475
"gamma",0.85,159.102119095993,1.28036300776216,0.883313182311332
"gamma",0.87,159.008873389918,1.30358289413974,0.856351784521996
"gamma",0.89,158.912459011332,1.3267225312383,0.839789333284667
"gamma",0.91,158.813429502219,1.34977615254712,0.839227931712845
"gamma",0.93,158.71534846022,1.37290935845323,0.850178183023831
"gamma",0.95,158.614945891041,1.39597082169267,0.814427621204109
"gamma",0.97,158.515972097299,1.41911286239121,0.786229649337864
"gamma",0.99,158.416585914828,1.44226269299114,0.739545578107753
"gamma",1.01,158.316967423168,1.46541047725743,0.700734411116658
"gamma",1.03,158.219319482574,1.48866774519881,0.660496219646825
"gamma",1.05,158.120992869915,1.51189999627217,0.62456387995969
"gamma",1.07,158.018297725281,1.53495405898963,0.625551235285857
"gamma",1.09,157.918184112445,1.5581123827452,0.640696196208132
