"parameter","fixed_value","error_value","optim_beta","optim_kappa","optim_gamma","optim_mu","optim_S0","optim_E0","optim_I0","optim_R0"
"beta",0.8,160.567911728298,0.789305620024113,1.12561828178719,0.45578212561062,0.0959589941243875,0.99990765471943,7.65718314753675e-14,1.54537451514859e-07,6.02856588297686e-05
"beta",0.82,160.252375838401,0.793090865569706,1.23437563419397,0.455592240288818,0.122985585454343,0.999907654403486,1.45865017561815e-10,1.54698833471542e-07,6.02861920142076e-05
"beta",0.84,160.547059592144,0.889321288690166,1.12410448131404,0.481257396293372,0.106487977659925,0.999907654281519,5.64652984395267e-11,1.54558635060312e-07,6.02852730881149e-05
"beta",0.86,160.209322150146,0.906336367994366,1.20244215721583,0.482280776083635,0.130395569983643,0.999907654003051,1.84406768561769e-10,1.54700365517022e-07,6.0285741820179e-05
"beta",0.88,160.438402132171,0.830408642203117,1.44994415909303,0.541045187067033,0.106075838563583,0.99990765161674,1.98995841561252e-12,1.58181022015916e-07,0.00453351175759263
"beta",0.9,160.110851788814,0.947795280928064,1.51620511589072,0.534865805635114,0.134968029811915,0.999907652064112,2.00785016400542e-12,1.58242875150713e-07,0.00619729741017399
"beta",0.92,160.358674722798,0.862509132652027,1.68189582024612,0.582649599272407,0.113244269325126,0.99990765200315,6.8050272146937e-14,1.58207345496388e-07,0.00619729743346797
"beta",0.94,160.055407185366,0.903289516705433,1.78960602008454,0.580045900894349,0.139490021559712,0.999907652490067,2.3861896481368e-13,1.57643069798548e-07,0.00619729843595486
"beta",0.96,160.313090569019,0.947333478380082,1.76987859955123,0.621132513919681,0.115846789181575,0.999907652487643,3.19408155735852e-12,1.57651405565045e-07,0.00619729842989557
"beta",0.98,160.296154815323,0.967760568821506,1.76527062425288,0.636037168474592,0.119528576606319,0.99990765249417,7.82199464827255e-13,1.5764847752181e-07,0.00619729843066327
"beta",1,160.282454094788,0.988775039454471,1.75220457040403,0.653138173534848,0.120564056658039,0.999907652497591,9.26220786879351e-14,1.57646654861636e-07,0.00619729843080589
"kappa",0.8,160.658383752933,0.933527948658522,0.911101093258644,0.512208414640664,0.110690183052406,0.99990007439628,6.21968576308401e-08,6.34490120943066e-08,8.70242862327897e-07
"kappa",0.82,160.675562879682,0.935369753926589,0.914492019666936,0.514724754623327,0.113244656328614,0.999900080984974,5.88448972628865e-08,6.01993329114964e-08,8.58942894054553e-07
"kappa",0.84,160.66343433432,0.940221978038752,0.902559792139974,0.518734148734603,0.114575345856714,0.999900088189778,5.51938224395263e-08,5.66510816173511e-08,8.46407206068271e-07
"kappa",0.86,160.684009446785,0.941713099252844,0.913572487079196,0.520206573538074,0.116448506364528,0.99990009269394,5.29048927312647e-08,5.44417285051565e-08,8.38573779983935e-07
"kappa",0.88,160.656148514361,0.943928197062223,0.916583080206482,0.522343792721574,0.118499392003273,0.999900095907648,5.1277865369368e-08,5.28666004626815e-08,8.3299449581471e-07
"kappa",0.9,160.659769980738,0.941840437313494,0.938141319487474,0.527675596191027,0.114515955002193,0.999900094637957,5.19282545903925e-08,5.34952299071147e-08,8.35242917224273e-07
"kappa",0.92,160.662710582245,0.944956424810126,0.932456278286825,0.532160128586265,0.114858165843776,0.999900096213564,5.1147721911891e-08,5.27325480092029e-08,8.32533256999527e-07
"kappa",0.94,160.682603800324,0.946187934461044,0.936060767632283,0.534321919456219,0.117306949991535,0.999900093164896,5.27017644586387e-08,5.4232958972094e-08,8.37839496605327e-07
"kappa",0.96,160.666861438007,0.946475486434462,0.943682735415779,0.536407507179984,0.11716241259873,0.999900097065652,5.07317037028574e-08,5.23241757044113e-08,8.31068017882942e-07
"kappa",0.98,160.657514363692,0.944474360072375,0.947202888113391,0.539418292796487,0.114757226242929,0.999900097569306,5.04763314406195e-08,5.20781165200163e-08,8.30157014035315e-07
"kappa",1,160.656374287838,0.941288335148971,0.975518063344082,0.541710638070351,0.114001441501572,0.999900089685615,5.44688230141663e-08,5.59413550430781e-08,8.43839615288022e-07
"gamma",0.4,160.675201438164,0.814735905853478,0.657370995830491,0.769601548125435,0.0988998303124925,0.999900065808232,6.65952073901452e-08,6.77186292915039e-08,8.71095787366304e-07
"gamma",0.42,160.671041109831,0.819365464325694,0.75469869322014,0.736742075549266,0.0993206613173024,0.999900076601159,6.07852479004263e-08,6.22997669198642e-08,8.49579514683071e-07
"gamma",0.44,160.669640025497,0.827719392996174,0.849959389317714,0.74309099230179,0.100053432440612,0.999900079360075,5.93671303033482e-08,6.09497707780785e-08,8.4432085107328e-07
"gamma",0.46,160.656771950891,0.839059794491079,0.950787919369432,0.725504039316698,0.101629712751097,0.999900082926627,5.75367188707816e-08,5.9207061087476e-08,8.37524416475345e-07
"gamma",0.48,160.660688681465,0.850800433452115,1.03855560066977,0.725777480875494,0.101906971930789,0.999900081077954,5.84857811730838e-08,6.01130837474788e-08,8.410888852838e-07
"gamma",0.5,160.656135782162,0.873127250881142,1.12020372387092,0.721169963897758,0.106007362425049,0.999900095849443,5.13815937785978e-08,5.24257206161112e-08,8.12408385500661e-07
"gamma",0.52,160.652730677334,0.884842835740969,1.21918828881607,0.721781779861879,0.106401314835577,0.99990009023241,5.40373846133775e-08,5.53936654781711e-08,8.23242756090224e-07
"gamma",0.54,160.640585098829,0.899470210837874,1.33164344768918,0.713856766056571,0.10579697232759,0.999900099634402,4.96127554515142e-08,5.03951737561652e-08,0.000185094986073053
"gamma",0.56,160.642104559014,0.916716497008674,1.53105954591566,0.49253932101922,0.111250650504296,0.999900111323822,4.30707889217094e-08,4.55115784613224e-08,0.00982984556187355
"gamma",0.58,160.637672871674,0.935038552246654,1.65915002478914,0.490425332686426,0.11373575167394,0.999900114902146,4.06188515852198e-08,4.33475947596305e-08,0.00982984672830189
"gamma",0.6,160.632443039959,0.950790127049022,1.81098583333386,0.488449856242953,0.115273637195957,0.999900115237675,4.04802274114797e-08,4.31930236661506e-08,0.00982984684721253
"mu",0.02,149.280104536643,0.902171573288737,0.893262957252068,0.588100599429609,0.0193096890598121,0.999900076971797,6.09075198781935e-08,6.21404618887432e-08,8.65362538237701e-07
"mu",0.025,151.654354320152,0.898626909782461,0.920723339375437,0.58431528868818,0.0222444385222812,0.999900074757798,6.2026243826972e-08,6.32221564281407e-08,8.69125726123225e-07
"mu",0.03,160.701632805355,0.246314282704214,1.0423560362149,0.0270150801098342,0.98453097238376,0.999899880581074,1.51907997865079e-07,1.45968889427915e-07,0.00485083362103063
"mu",0.035,160.697804543765,0.287705128702548,1.13796449566829,0.0605258595067333,1.07728761761924,0.999899914947345,1.30026496882497e-07,1.2447135204212e-07,0.0048507322157272
"mu",0.04,160.692054843516,0.32507001190148,1.23915924278022,0.0911490031474599,1.12832254551032,0.99989993925506,1.149191405127e-07,1.10864817213323e-07,0.00485068110568569
"mu",0.045,160.65894431599,0.341730924281778,1.396222097439,0.104368871830022,1.01918348184311,0.999899955239048,1.03277422202844e-07,1.00928649321225e-07,0.00838999588872748
"mu",0.05,160.627152141448,0.373191864235789,1.51757721806375,0.128690997131805,0.927371580530094,0.99989998180991,8.82007420807096e-08,8.54014179820736e-08,0.00839000594995536
"mu",0.055,160.479404097938,0.374653403606819,1.6701510738624,0.128667526122244,0.927376239678886,0.999899980898229,8.88024247336652e-08,8.59754414556835e-08,0.00839000566428833
"mu",0.06,160.669278411312,0.491576204327782,2.23448089717371,0.24083227350888,0.391172354513437,0.99990001580394,6.88287226106253e-08,6.73767297610892e-08,4.23592955464572e-05
"mu",0.065,160.663611859563,0.530474250920515,2.40096084071027,0.274315176572334,0.18134080534843,0.999900027376361,6.35484259515878e-08,6.16095241120133e-08,4.23398130970083e-05
"mu",0.07,160.645602935383,0.549052105882266,2.71743014726462,0.290593827720824,0.179980963508732,0.999900043535989,5.63060258255478e-08,5.36576265976937e-08,0.00062675753715849
"mu",0.075,160.64806625477,0.605311760491251,3.12979278043605,0.342877666952366,0.012528563362711,0.999900056770259,4.98155184691211e-08,4.68261347310162e-08,0.00291624771307665
"mu",0.08,160.642155740425,0.642921653424587,3.39342516095196,0.375172232774859,0.0391225460569268,0.999900055862625,5.03872349236699e-08,4.72359528524985e-08,0.00291624991381568
"mu",0.085,160.639293759867,0.694098250967048,3.38795698113786,0.418774698466213,0.0559566541076374,0.999900063327152,4.71178163189969e-08,4.37201970590572e-08,0.00291623856480546
"mu",0.09,160.63206409142,0.73407549878426,3.81165375246566,0.45516528513828,0.244796923215581,0.999900069901609,5.24262800457274e-08,3.20196498929021e-08,0.00991388291923461
"mu",0.095,160.625606421405,0.777175246509058,4.08563446102591,0.493237042762049,0.328314708684983,0.999900058861727,4.66890722604361e-08,3.17099908965164e-08,0.00991389457761071
"mu",0.1,160.615742234314,0.797959846189678,4.42259739960404,0.510200708811985,0.344701935767985,0.999900057240437,4.37896804014489e-08,3.08078192803599e-08,0.00991388875631568
"mu",0.105,160.584170361309,0.801189570673474,4.86199861809489,0.510640139204039,0.344201622682505,0.999900059161518,4.27877209772029e-08,2.93950945549224e-08,0.00991388921234397
"mu",0.11,160.601231703021,0.877613375994566,5.11821423848331,0.581509763156815,0.508240021160199,0.999900045570232,3.85328672875403e-08,3.04231923150019e-08,0.00991392644071137
"mu",0.115,160.596198788322,0.925247987390856,5.51062365457617,0.624203034493864,0.556779805046994,0.999900042495023,3.51117052777665e-08,2.88072952644551e-08,0.00991394952340362
"mu",0.12,160.573958494213,0.928293509322625,6.05952321273315,0.624072424653801,0.555986514129922,0.999900044416028,3.39099941870752e-08,2.74638736032962e-08,0.00991395042217408
"mu",0.125,160.571818607788,0.98011871369765,6.50065164233921,0.669687618605088,0.0652681581726372,0.999900047528805,2.98344173618242e-08,2.35521564681234e-08,0.000469816785604123
"mu",0.13,160.574722030837,1.05460013742051,6.89476178302645,0.739515261848552,0.182240420450904,0.99990004730056,2.92204745968607e-08,2.30261173298866e-08,0.000469814064167291
"mu",0.135,160.561347623451,1.06520811782207,7.58011847401997,0.746963836485085,0.0449416706584118,0.999900048075437,2.85541215003509e-08,2.22860440051648e-08,0.000469811181723712
"mu",0.14,160.532825553883,1.06726993020042,8.32133964475796,0.746406847639385,0.0499419032149372,0.999900047707871,2.88551934639134e-08,2.26253312451074e-08,0.000469812408467421
"mu",0.145,160.541143309976,1.13267195166756,8.91825609752038,0.805688969531327,0.174736965115934,0.999900054490896,2.32557138206855e-08,1.63649708217148e-08,0.00046978998739057
"mu",0.15,160.511374147847,1.13506373126018,9.79822286494607,0.805471408629621,0.179826998404603,0.999900053943482,2.37059123074095e-08,1.68690242927552e-08,0.000469791838183924
