"parameter","fixed_value","error_value","optim_beta","optim_kappa","optim_gamma","optim_mu"
"beta",0.7,160.56045315182,0.967313306083668,0.993060110182222,0.371424886762085,0.0846546066964567
"beta",0.72,160.551137107161,0.923444657177472,0.981211308731778,0.386457345381668,0.0862965697912531
"beta",0.74,160.53326233138,0.946192937465147,0.972373869593697,0.400220152183327,0.0894640392188018
"beta",0.76,160.522604042829,1.00015723537506,0.958643609002593,0.413932018101667,0.092096013215826
"beta",0.78,160.512029729271,0.993538789165787,0.96033972728536,0.430063799069722,0.0936240331014985
"beta",0.8,160.492406935327,1.03976147845234,0.942054340561559,0.442684021912081,0.0968656814296439
"beta",0.82,160.495171237565,0.939248703841539,0.948164582314247,0.458791573853158,0.099073056036215
"beta",0.84,160.466354621172,0.919202887534677,0.934155295354318,0.472770459285039,0.101412156779738
"beta",0.86,160.47407331978,0.831625887851768,0.911119113101951,0.485170127577783,0.103813938771578
"beta",0.88,160.451385260387,0.848226307951399,0.948784395628384,0.503877097116146,0.107253331526546
"beta",0.9,160.446692588999,0.978440384492901,0.886157069880748,0.51198916742583,0.108724503699998
"beta",0.92,160.418800638892,0.948720785826932,0.886988060385526,0.534585662641696,0.103538436576957
"beta",0.94,160.431933506288,0.958300566385831,0.872755709658666,0.540432087621814,0.113263979721044
"beta",0.96,160.427007973437,1.01969699497479,0.8758200397381,0.554577724190995,0.11693757058204
"beta",0.98,160.445578864384,0.960771883670423,0.851092717754193,0.569384421192955,0.114940910734362
"beta",1,160.442519040308,0.921803400061363,0.852546446506981,0.581068782098167,0.120855947455284
"beta",1.02,160.39946323325,0.916951209981012,0.847199299469558,0.596376941458022,0.123015137731381
"beta",1.04,160.411932124469,0.926474118587979,0.809380919731576,0.605307979236958,0.124442899731762
"beta",1.06,160.394300020096,1.02482245579876,0.802760398329662,0.617859743844096,0.127749658096895
"beta",1.08,160.418087527423,0.939827207651726,0.747915749233513,0.621133137456307,0.130521140786592
"beta",1.1,160.446055366544,0.915596440611248,0.681122971569737,0.619809027019033,0.132896833993483
"kappa",0.7,160.515456902691,0.901569323393576,0.893758324493837,0.482475251507501,0.108965257723842
"kappa",0.72,160.4993953288,0.911451249414867,0.752251799553195,0.493631002115913,0.110089517370997
"kappa",0.74,160.484736200336,0.924000380151127,0.897152817047172,0.506509602142534,0.111651754820088
"kappa",0.76,160.474392545357,0.939602652452581,0.225538390436752,0.521609221183213,0.113500427978779
"kappa",0.78,160.492184555695,0.934257770462626,0.906360049912203,0.518818932500817,0.114318338553512
"kappa",0.8,160.49628834761,0.932753558603655,0.846445205755181,0.522502703494431,0.112807534374549
"kappa",0.82,160.456054393641,0.922290937028746,0.936193313726386,0.519055364653568,0.111614548821042
"kappa",0.84,160.455848142569,0.932510123391701,0.877752511450563,0.529850951025504,0.112725299516997
"kappa",0.86,160.46928240615,0.90744348748399,0.601549296080404,0.51391058614485,0.109627053476086
"kappa",0.88,160.445404526376,0.914648401724673,0.94665053762495,0.522193999149273,0.110452350801964
"kappa",0.9,160.447191204532,0.913929088076154,0.954402867757599,0.524435931632447,0.110331082885498
"kappa",0.92,160.429013862292,0.910042001935407,0.890595733134274,0.524415718109087,0.109544426674379
"kappa",0.94,160.433296707933,0.919751816848872,0.795916667883526,0.534034538965815,0.111021372398209
"kappa",0.96,160.425121844997,0.918643029996348,0.919460012112797,0.535750604351388,0.110732479803035
"kappa",0.98,160.417994187961,0.913593507847024,0.871842127238627,0.533902876194458,0.110237006072644
"kappa",1,160.395642126176,0.920911498163922,1.09744036341867,0.541709532019715,0.111177820098437
"kappa",1.02,160.483330447575,0.799222214466027,1.24141583187348,0.450240703291727,0.0966157465937066
"kappa",1.04,160.389394018713,0.920335190572151,0.883398141197524,0.5457073178961,0.111078879832117
"kappa",1.06,160.367237011522,0.922640553952745,0.882881505515263,0.549560093946307,0.111368036704103
"kappa",1.08,160.378184115299,0.897489184059138,0.868184553605997,0.532017777801615,0.108317982475455
"kappa",1.1,160.690174052335,0.371807158415085,0.723484380986714,0.122098340575317,0.0451713314578219
"gamma",0.4,160.554722090922,0.768825509448689,0.780620865951668,0.794542819917245,0.0923747220039624
"gamma",0.42,160.512259597194,0.767966412296232,0.951764147192254,0.764567915268,0.0923258501981731
"gamma",0.44,160.507527367139,0.807303775079345,0.859074240642125,0.620506589352904,0.0963428690942648
"gamma",0.46,160.488105406847,0.819469960372444,0.957417080479574,0.59588208927416,0.098406194110812
"gamma",0.48,160.485953286075,0.859815887470617,0.863502017435766,0.613663053685022,0.102607461023891
"gamma",0.5,160.414937853829,0.90559088497808,0.850645001808773,0.634014175184166,0.120832101831006
"gamma",0.52,160.465570275887,0.914699793119548,0.857904853341015,0.151490079354879,0.109499914738605
"gamma",0.54,160.36768752698,0.912547380739913,0.955824162047115,0.00201557126089976,0.100429401273728
"gamma",0.56,160.423465498077,0.960372071144412,0.887804530750894,0.521698390847994,0.11343448295482
"gamma",0.58,160.382369115293,0.980747558924502,0.915013275440125,0.501281838727416,0.115169250166407
"gamma",0.6,160.410757699382,1.01511823041704,0.885246171948768,0.575509431698965,0.120221196892657
"gamma",0.62,160.385273823367,1.04021355678493,0.897227512168553,0.472840223432887,0.123961866401893
"gamma",0.64,160.381268586462,1.09045913637808,0.808646695029166,0.858605749999527,0.133005337348388
"gamma",0.66,160.389592543036,1.12616486127297,0.770198262586509,0.370212055876953,0.135744136444657
"gamma",0.68,160.318771637402,1.11744865801468,0.901470774055438,0.35677000569211,0.132483232748399
"gamma",0.7,160.211926259595,1.10748788483893,1.1120604490986,0.253533874242575,0.131853150459654
"mu",0.02,160.240412184882,0.207495874260251,1.43852990169678,0.00104917110147127,0.700492254799478
"mu",0.025,160.576036033307,0.213533617026389,1.79931862863925,0.00649771626308583,0.224327897646752
"mu",0.03,160.654873642582,0.253774113172833,1.7768847373714,0.0408309890762785,0.027458952349557
"mu",0.035,160.664936824403,0.292619507801651,1.16622590804611,0.061484102412909,0.30713248178529
"mu",0.04,160.686381849013,0.33088939461973,1.44567715001047,0.0994046947791347,0.269703849476697
"mu",0.045,160.690914308467,0.37150369921119,0.964036544216872,0.116027672703714,0.229384937106318
"mu",0.05,160.685155713981,0.410728610816675,1.10751552571067,0.153167031819899,0.90718349382443
"mu",0.055,160.681084885153,0.449035476169431,0.946946982079078,0.174265813676388,0.431516379910293
"mu",0.06,160.678000289933,0.489184163281046,0.791041925382092,0.192929094372994,2.20766075643714
"mu",0.065,159.080554583224,0.899323102982625,0.851678230559621,0.549060378050022,0.300303351513633
"mu",0.07,159.372877104246,0.910505986788936,0.857043709538642,0.554740324328368,0.103208842248275
"mu",0.075,159.922217508252,0.851673799408492,0.931182991490115,0.508283711484998,0.000714417097510811
"mu",0.08,159.92425775159,0.901792370758057,0.878409907661285,0.540266628299033,0.136595694739379
"mu",0.085,160.120771580235,0.898072108585823,0.880271919032745,0.532569353827569,0.134051920689781
"mu",0.09,160.234701656973,0.905999230308909,0.900035690434779,0.537281806388926,0.124507637587677
"mu",0.095,160.327500122428,0.908654927627079,0.883373016258509,0.532478063990732,0.133004513026104
"mu",0.1,160.392026077129,0.911161058662075,0.895596262693356,0.531487689368978,0.137320050808737
"mu",0.105,160.430663100842,0.914798805533736,0.900890492904466,0.530485343633999,0.00567893275298427
"mu",0.11,160.422614924086,0.913252617945688,0.9326330979516,0.528391950997096,0.108258207743366
"mu",0.115,160.421486012091,0.902683131097187,0.931503436073515,0.51415308138028,0.135094479020234
"mu",0.12,160.398664203108,0.925495567517872,0.903019552894562,0.525552237967924,0.116593791172533
"mu",0.125,160.346286101308,0.927035022478765,0.909032458645218,0.522780353376025,0.0739411546633832
