"parameter","fixed_value","likelihood_value","optim_beta","optim_gamma"
"beta",0.91,155.272035218256,0.91,0.53
"beta",0.89,155.304169900867,0.88422261428833,0.51232723236084
"beta",0.87,155.322851737097,0.882325615698716,0.494965512694302
"beta",0.85,155.331401092746,0.880432686902829,0.477641040613597
"beta",0.83,155.339415103799,0.866188837006115,0.460268281232479
"beta",0.81,155.345493856551,0.834348414802064,0.442935733778573
"beta",0.79,155.330937851913,0.788668494347846,0.425565536571979
"beta",0.77,155.313556429885,0.807210675989862,0.408197885646643
"beta",0.75,155.286886005612,0.777150127506273,0.390834837708471
"beta",0.73,155.25046639294,0.77652519141436,0.373490785943172
"beta",0.71,155.202204348496,0.768208346650892,0.356123061143895
"beta",0.69,155.141493351782,0.725145131092352,0.338772107974684
"beta",0.67,155.06694374192,0.681724672214179,0.32140439467897
"beta",0.65,154.977096814677,0.645572803276552,0.304032045301051
"beta",0.63,154.870370110093,0.611805728503119,0.286645631760659
"beta",0.61,154.744315921198,0.607901280706878,0.269255311556227
"beta",0.59,154.597240685034,0.60936173639688,0.251857481154211
"beta",0.57,154.427480053991,0.638078673958929,0.234455332734385
"beta",0.55,154.231133229174,0.637253795698808,0.217037503880464
"beta",0.53,154.004966579796,0.606137887705702,0.199612595404325
"beta",0.51,153.746050794339,0.607672350252659,0.182176324376514
"beta",0.49,153.449222031242,0.603021277199941,0.16473523325895
"beta",0.47,153.109570748751,0.596038210343946,0.1472908649805
"beta",0.45,152.72140653569,0.593581755946743,0.129819144789172
"beta",0.43,152.277557955568,0.617451252256688,0.112349070033965
"beta",0.41,151.769776690385,0.616495387311679,0.0948318093733242
"beta",0.91,155.272035218256,0.91,0.53
"beta",0.93,155.248808858218,0.892146677494049,0.546936575889587
"beta",0.95,155.219289866069,0.871383191426651,0.564361594651125
"beta",0.97,155.18454859752,0.89838001179399,0.581906231049153
"beta",0.99,155.149280016134,0.948452855885803,0.599142852532383
"beta",1.01,155.083588282364,0.948688010739722,0.615512279746485
"beta",1.03,155.046048753496,0.961897386783425,0.632820668071088
"beta",1.05,154.998239328327,1.01066209172946,0.651277013621963
"beta",1.07,154.940959349091,1.03487335731406,0.668182901022
"beta",1.09,154.88218289368,1.01147822322948,0.685425594395557
"beta",1.11,154.834157377108,1.01918671876874,0.702725815927908
"beta",1.13,154.767492278369,1.02563030669748,0.720027452587358
"beta",1.15,154.704909979125,1.02543435618319,0.737281777663043
"beta",1.17,154.640755027424,1.02243348351525,0.754699356951942
"beta",1.19,154.574862030609,0.987751980108939,0.771510044630444
"beta",1.21,154.507730555639,0.971153572857274,0.788852693134624
"beta",1.23,154.439180846578,1.01755808585518,0.806118752944327
"beta",1.25,154.36994556605,1.01768087683928,0.823443386554931
"beta",1.27,154.299514672229,1.01470269426759,0.840729268636278
"beta",1.29,154.227542287133,1.02111793291978,0.857954784834912
"beta",1.31,154.154766234554,1.02456906868333,0.875277595951593
"beta",1.33,154.08087626606,1.00673924081257,0.892634381476223
"beta",1.35,154.006440091477,1.06592942111925,0.90994622100096
"beta",1.37,153.931519544353,1.1093017517335,0.927162527056915
"beta",1.39,153.855856327567,1.08029904502512,0.944471153953353
"beta",1.41,153.779308669719,1.05552492979871,0.961810750990666
"beta",1.43,153.70244990346,1.02208012861351,0.979059768899834
"beta",1.45,153.625260806419,1.02553451636967,0.996398903238077
"beta",1.47,153.54764422557,1.00022538984364,1.01366655158097
"beta",1.49,153.469990733573,1.02320749828905,1.03085879064618
"gamma",0.53,155.295390794342,0.910691497802734,0.541029251098633
"gamma",0.51,155.306999301686,0.887313478983636,0.518078188399377
"gamma",0.49,155.328758713737,0.864273602470171,0.543592377325627
"gamma",0.47,155.338701824162,0.841296635675222,0.538439215536378
"gamma",0.45,155.350342016606,0.817968934162328,0.547884803679229
"gamma",0.43,155.33459639291,0.795123317446466,0.55930761203716
"gamma",0.41,155.315719433029,0.772095473656097,0.59252604616392
"gamma",0.39,155.285380049107,0.749014053264184,0.557588491230531
"gamma",0.37,155.241643332825,0.726011136637373,0.574102319467757
"gamma",0.35,155.182278021255,0.7029473315961,0.545947702205899
"gamma",0.33,155.105699745975,0.679914829973291,0.533406075738175
"gamma",0.31,155.009893224576,0.656896896886104,0.511748881837791
"gamma",0.29,154.892542049509,0.63389678920374,0.503680882153805
"gamma",0.27,154.750337947425,0.610918331632695,0.495774837112185
"gamma",0.25,154.580868290204,0.587919404206483,0.514910779970699
"gamma",0.23,154.380360139504,0.564945245045674,0.515514513597027
"gamma",0.21,154.144119052536,0.541994344465694,0.491680886071663
"gamma",0.19,153.86693072802,0.519054113760936,0.484911451507226
"gamma",0.17,153.543766588402,0.496114624283527,0.476992700297341
"gamma",0.15,153.166369914674,0.473189331653186,0.480127281105921
"gamma",0.13,152.726921456787,0.450308265912982,0.497569404989847
"gamma",0.11,152.21505779284,0.427452564085002,0.509120725789834
"gamma",0.53,155.295390794342,0.910691497802734,0.541029251098633
"gamma",0.55,155.242118685536,0.933636654680967,0.529556672659516
"gamma",0.57,155.199782410693,0.956649196949933,0.577815911988254
"gamma",0.59,155.168093915586,0.979406193131376,0.619196953359173
"gamma",0.61,155.108738921831,1.00359843473051,0.640002759360112
"gamma",0.63,155.063081268485,1.02689402986378,0.668878357653786
"gamma",0.65,155.002183389572,1.04876947321111,0.686587377257201
"gamma",0.67,154.937060542631,1.07213072968647,0.720134842535141
"gamma",0.69,154.867389704077,1.09526240164823,0.740095941327455
"gamma",0.71,154.805132774294,1.11846159638118,0.758695623542024
"gamma",0.73,154.731383889326,1.14155258774435,0.770185260196007
"gamma",0.75,154.65846850745,1.16450405517852,0.747068473212776
"gamma",0.77,154.580732837358,1.18818842622616,0.757768917017218
"gamma",0.79,154.503138084149,1.21129302176627,0.73012460352439
"gamma",0.81,154.423963087938,1.23443947243361,0.732084773598469
"gamma",0.83,154.343254389658,1.25758521254174,0.705081410138984
"gamma",0.85,154.258883777847,1.28065690047919,0.680144769155202
"gamma",0.87,154.177085755761,1.30385923157636,0.652502172185669
"gamma",0.89,154.091993839879,1.32703282486973,0.639604886427503
"gamma",0.91,154.006208259041,1.35006915211407,0.636967880645965
"gamma",0.93,153.919351672237,1.37322563708253,0.642767861116041
"gamma",0.95,153.83164531153,1.39628105957523,0.601230174322972
