"parameter","fixed_value","likelihood_value","optim_beta","optim_kappa","optim_gamma","optim_mu"
"beta",0.91,155.384220576716,0.555627631496613,0.996751290357965,0.534550740942163,0.108060141435296
"beta",0.89,155.371910679885,0.597040415716662,1.06392481594461,0.524997598953707,0.106916675532807
"beta",0.87,155.373154673151,0.645897659495005,1.14141037612275,0.516381982343424,0.104594810092983
"beta",0.85,155.388327804651,0.633571092332534,1.22416675020415,0.506955774431076,0.102430345498074
"beta",0.83,155.37438390442,0.675595308317767,1.29419420627264,0.496304216459506,0.0997232111803881
"beta",0.81,155.374971489162,0.677951143384262,1.37092651042712,0.485315690878724,0.097029573856678
"beta",0.79,155.375763888754,0.621532036275009,1.49932140870038,0.475727189315512,0.0947001763453276
"beta",0.77,155.375825985471,0.670907714607591,1.59336504888236,0.463711784507885,0.0922298435950324
"beta",0.75,155.375733860052,0.759200362828484,1.69293924028027,0.451065140820679,0.0900448027134647
"beta",0.73,155.375374372986,0.876866893442472,1.7894893716687,0.437700216523881,0.0878036374114015
"beta",0.71,155.37490608589,0.990489287304807,1.89454342592897,0.424607338769186,0.0851044033600506
"beta",0.69,155.374333064054,1.0983957899405,2.01586684691802,0.411110449459385,0.0827606621317779
"beta",0.67,155.376544670366,1.19508508698334,2.49124732408557,0.403078210338755,0.080911371626977
"beta",0.65,155.377458911192,1.23601330127144,2.69012891620339,0.390134918942084,0.0778763552728698
"beta",0.63,155.376946847531,1.1450332210601,2.91762902784069,0.375993144367021,0.0753189464358998
"beta",0.61,155.376564733587,1.17674203366188,3.04681406118214,0.360415749598404,0.0731301723543677
"beta",0.59,155.374849322518,1.39439186191731,3.19723231067806,0.344923488725244,0.0704403190662784
"beta",0.57,155.364867592156,1.28739517479359,3.51121337182542,0.328546854397746,0.0685440205835968
"beta",0.55,155.365652881284,0.0801199509027235,4.64341498826767,0.317002547936525,0.0662347788423958
"beta",0.53,155.363072466836,0.781566993520954,5.92966189733622,0.302889844581761,0.0643136066653178
"beta",0.51,155.356830655543,0.329457446970042,6.62166979617013,0.287363755171613,0.0611845356997054
"beta",0.49,155.351857775543,3.18347983584034,9.14781134667467,0.272362522874365,0.059312226492328
"beta",0.47,155.34840221243,0.578177680766713,16.2307684654859,0.258755420755206,0.0563154583143251
"beta",0.45,155.333913687093,0.121990753580257,17.8022440802285,0.241051321196312,0.0539503724659747
"beta",0.43,155.319659394281,0.950772890847536,30.3793695756941,0.224208568120059,0.0519444834858928
"beta",0.41,155.334507521993,0.367060967181717,33.5567226127867,0.208065340872399,0.0491490010608219
"beta",0.91,155.384220576716,0.555627631496613,0.996751290357965,0.534550740942163,0.108060141435296
"beta",0.93,155.381661480018,0.596552466249751,1.03008401696501,0.551113310637213,0.113094563442151
"beta",0.95,155.37476445231,0.682761041602354,1.03431545226501,0.568210036132325,0.114126398431382
"beta",0.97,155.388551122943,0.730398214373305,1.0452967416736,0.584114015642297,0.117420393112585
"beta",0.99,155.377864597628,0.819608531102966,1.05172172220435,0.601139425572861,0.118855651785615
"beta",1.01,155.378157326315,0.864997473553879,1.0510518738238,0.616706707162422,0.120968444719326
"beta",1.03,155.380575029773,0.965358044316716,1.05155067157316,0.628036783761884,0.127681010919691
"beta",1.05,155.378321317811,1.03794268425106,1.05135568572836,0.647729626651296,0.125595865752804
"beta",1.07,155.400838498921,1.07990467491522,1.05246223629255,0.659094265071218,0.132679284232113
"beta",1.09,155.376261814574,1.0921379010896,1.07265844586997,0.681443517358469,0.130087097007428
"beta",1.11,155.376092638234,1.10561993291682,1.04853336575005,0.696029405456798,0.130660069024755
"beta",1.13,155.369778424331,1.13706556890144,1.05680994553624,0.705826283691479,0.139943845420499
"beta",1.15,155.377594576212,1.19305692680951,1.03535753378318,0.72301796776087,0.137601671638609
"beta",1.17,155.376173155037,1.1031498388465,1.01112923872405,0.734814188015875,0.139607612614605
"beta",1.19,155.35617189595,1.1435610242371,1.03169005903949,0.744308383603726,0.150819830404602
"beta",1.21,155.369802897466,1.30272688682597,1.05171579530385,0.767877419658277,0.147653445238417
"beta",1.23,155.364324952903,0.167955345414627,1.07119902363219,0.784640362158972,0.151354898778593
"beta",1.25,155.36522838595,0.307193913440983,1.0385791614574,0.801409179008066,0.148578594640073
"beta",1.27,155.367737093438,0.38799916313676,1.01206174917827,0.813345884233841,0.150107656735811
"beta",1.29,155.368879144699,0.307130157979173,0.980062921885249,0.823655843751082,0.152480248018574
"beta",1.31,155.369012842719,0.295016149374204,0.97040905215735,0.835906962015507,0.156246216731674
"beta",1.33,155.371826924602,0.339311592042384,0.915419325119218,0.841908377280062,0.158071691704454
"beta",1.35,155.369219591776,0.340457685382664,0.935291666180203,0.860334642869668,0.160852776061371
"beta",1.37,155.367994699792,0.172678654938224,0.913155259052631,0.873342493667216,0.161141117984089
"beta",1.39,155.369891961627,0.0661308329759751,0.891715446582887,0.882599222097254,0.165048586359452
"beta",1.41,155.367634114061,0.116729681888188,0.901976661614052,0.900081869190015,0.167070112478726
"beta",1.43,155.367999217934,0.167657808792077,0.887264482196446,0.911648948184572,0.169915492071204
"beta",1.45,155.366862533166,0.199669934664258,0.887160580969598,0.9264434228336,0.172399900180135
"beta",1.47,155.364710965404,0.252540844435617,0.899079055705509,0.943917570224415,0.174860333372884
"beta",1.49,155.362297980089,0.277522650277111,0.906756771386997,0.961554477184909,0.176172028076095
"kappa",0.87,155.380641539748,0.911509316692099,0.944364543962916,0.519232222123002,0.108971749795576
"kappa",0.85,155.364706339076,0.911996161666999,1.02552552375847,0.515721111210601,0.110127133048005
"kappa",0.83,155.362479186023,0.917363337146991,1.07497120820708,0.516990874719991,0.110742224307122
"kappa",0.81,155.360414248862,0.931000343156811,0.887690120190812,0.524423729016016,0.111846647569933
"kappa",0.79,155.367929782535,0.943473968065533,0.9658821646177,0.527643577193397,0.114992098535947
"kappa",0.77,155.357106355371,0.943688307201469,1.06304436677407,0.527527628165835,0.11305414121621
"kappa",0.75,155.35350981055,0.94759104949781,1.1470567687008,0.5262464119429,0.113628391518083
"kappa",0.73,155.355270906153,0.971580714002984,0.91017868012516,0.539821524744777,0.116445898005292
"kappa",0.71,155.347730937859,0.979526690037084,1.00265548039303,0.541344814838291,0.117088405921208
"kappa",0.69,155.34636801892,0.990837305241769,1.06615608088995,0.544295636035968,0.119217353515639
"kappa",0.67,155.34420568248,0.999534582870883,1.11370184064374,0.545679429048478,0.120411079992798
"kappa",0.65,155.342594698374,1.01484406909352,1.16119060088509,0.552521821806845,0.121263120216389
"kappa",0.63,155.340006348889,1.02632946857054,1.20329135949652,0.554622235355657,0.123336647372345
"kappa",0.61,155.339003414894,1.04005139046602,1.30612130735009,0.559006389548185,0.124547529709367
"kappa",0.87,155.380641539748,0.911509316692099,0.944364543962916,0.519232222123002,0.108971749795576
"kappa",0.89,155.363567472017,0.912739306340152,0.976751026496209,0.522638369730571,0.109552615347334
"kappa",0.91,155.368665260147,0.914352049219338,1.00971922764892,0.525497155555356,0.110895244866042
"kappa",0.93,155.37545358928,0.916130667657104,1.04591089627716,0.531024682507175,0.109388104234841
"kappa",0.95,155.374426975341,0.918110334395256,1.10758446037117,0.535246634473407,0.109416856079873
"kappa",0.97,155.371087664431,0.918813412260369,1.17739676260177,0.537589050834726,0.110031240884944
"kappa",0.99,155.380453688628,0.920003497490516,1.22485367632344,0.540767230689734,0.109902958995072
"kappa",1.01,155.371327371787,0.922763948173139,1.33864485401697,0.544843966031582,0.11053796991337
"kappa",1.03,155.381304999127,0.927552550680172,1.50333783822119,0.549029535640522,0.112802850447875
"kappa",1.05,155.37582912182,0.928135547561401,1.56672509981244,0.551828177808042,0.112747757652283
"kappa",1.07,155.374756074145,0.927314342866752,1.67694370557763,0.554862916469714,0.110966625542223
"kappa",1.09,155.375749154578,0.930021040673144,1.83131836590109,0.559046910057446,0.111224373513161
"kappa",1.11,155.376821393334,0.931894884553864,1.992117880335,0.562291557514365,0.111619111071061
"kappa",1.13,155.377745640891,0.931567922305683,2.09809602406127,0.564082455566706,0.111397137107327
"kappa",1.15,155.387813668846,0.932175806401114,2.287789615818,0.56703688833563,0.110758850223577
"kappa",1.17,155.393068080875,0.933224778359172,2.45694986211202,0.56882702611546,0.111728532774284
"kappa",1.19,155.400771346296,0.934261801469072,2.66136214173029,0.571257165543337,0.11194792901613
"gamma",0.53,155.372768504729,0.905909427632887,0.971330858520468,0.535590117652872,0.106462437709306
"gamma",0.51,155.341115575253,0.895820451769416,0.96467106239553,0.586266459409243,0.116971647799849
"gamma",0.49,155.37782062351,0.843183294481094,1.08200730692824,0.604346939191538,0.101715152746662
"gamma",0.47,155.372325214893,0.819933267556494,1.06344450175313,0.765452552778876,0.0993091078765081
"gamma",0.45,155.211512524078,0.813305964015773,1.07274304531554,0.804894496159121,0.114272517681553
"gamma",0.43,155.322835757639,0.818193161706087,0.742810752795476,0.981299079172931,0.0987083769680346
"gamma",0.41,155.314151972981,0.803105453012042,0.685820825256269,1.0313762282635,0.0965772088430546
"gamma",0.39,155.301349665459,0.781259795513732,0.668395888724975,1.15167973129418,0.0950360772120554
"gamma",0.37,155.290151444143,0.753775156206663,0.662155701287603,1.28514235201496,0.0909430017610237
"gamma",0.35,155.272780292944,0.732861744273153,0.637296408354504,1.50876391048579,0.0889089584372853
"gamma",0.33,155.264005430467,0.691600637528591,0.69041428325629,1.54936361551784,0.0835049664183261
"gamma",0.31,155.247170256275,0.683332639150798,0.597463673817002,1.52202869859559,0.0808899268128122
"gamma",0.29,155.241536092623,0.664821610334069,0.569252723437516,1.49552605482368,0.0808098472835401
"gamma",0.27,155.256742833687,0.642277439171869,0.536368744795873,1.68983246603922,0.0773899017658764
"gamma",0.25,155.247954247488,0.610909871663643,0.5412095858672,3.42833353207179,0.0735679670140426
"gamma",0.23,155.089148821478,0.6049635535171,0.520421249135851,3.83898258862861,0.0850449429905227
"gamma",0.21,155.113058029354,0.577875609817803,0.496992404932315,4.57987641780929,0.0763296643112823
"gamma",0.53,155.372768504729,0.905909427632887,0.971330858520468,0.535590117652872,0.106462437709306
"gamma",0.55,155.381702358001,0.926353663455729,1.03094581798752,0.561263541726315,0.111083139156817
"gamma",0.57,155.377202235371,0.942460650713711,1.10968579997981,0.459508738908456,0.113371024742321
"gamma",0.59,155.383869289994,0.964426995724211,1.13178345227324,0.541655405107717,0.115205127855627
"gamma",0.61,155.385727553698,0.99631429796916,1.08014061977721,0.752289327049749,0.11863468665245
"gamma",0.63,155.376986962313,1.01225461264888,1.15674853812684,0.772979268893608,0.120667879660463
"gamma",0.65,155.378813956905,1.04460919139382,1.10729247861107,0.946572438126779,0.124753076524522
"gamma",0.67,155.376652213472,1.07500958825315,1.07526326999043,1.0576448514814,0.128437945745351
"gamma",0.69,155.376505231348,1.09235360916696,1.12824211719502,1.04938427968692,0.129897518172339
"gamma",0.71,155.371262404522,1.11725982856399,1.13407840613044,1.05768738082746,0.133033352071616
"gamma",0.73,155.368073808285,1.14009856810289,1.14867138812277,1.16957752400867,0.135143894230471
"gamma",0.75,155.367477504586,1.17168901624958,1.12025086285081,1.19309293356328,0.140339523682269
"gamma",0.77,155.362482936077,1.19072035802967,1.14970108325856,1.24512641843447,0.140801966918913
"gamma",0.79,155.35764523202,1.21282084481929,1.17049836254363,1.19649321150285,0.142995351162049
